place_id,facility_name,facility_type,address,longitude,latitude,operation_status,public_access_verified,study_access_verified,reading_seats,source_name,source_url,source_record_id,source_reference_date,coordinate_status,source_tier,aggregation_eligible,notes,snapshot_date,coordinate_in_seoul,primary_purpose,activity_mode,economic_activity_required,study_suitability_evidence,evidence_strength,mandatory_purchase,large_cafe_floor_area_m2,wifi_verified,classification_rule,inside_reachable_area_count,reachable_area_count_400m,nearest_area_code,nearest_area_name,nearest_area_distance_m,reachable_by_user_input,reachability_rule
library:poi:01386,통인 어린이 작은도서관,public_library,서울특별시 종로구 자하문로13길 20,126.9705288,37.5804256,listed_in_standard_data,1,1,50.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01386,2025-12-02,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,1,6,3130001,통인시장,0.0,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01110,파랑새작은도서관,public_library,서울특별시 노원구 상계로 118,127.0678654,37.65748394,listed_in_standard_data,1,1,36.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01110,2026-04-08,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,1,6,3110426,상계2동주민센터,0.0,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01043,평강마을도서관,public_library,"서울특별시 광진구 자양번영로4길 13, 2층(자양동, 평강침례교회)",127.0760916,37.53157438,listed_in_standard_data,1,1,50.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01043,2025-11-05,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,1,6,3130080,자양종합시장(기능상실),0.0,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01111,푸른숲작은도서관,public_library,서울특별시 노원구 동일로 1697,127.0549625,37.67992867,listed_in_standard_data,1,1,6.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01111,2026-04-08,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,0,2,3110419,수락산디자인거리,40.402,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01404,필동 작은도서관,public_library,서울특별시 중구 필동로 11,126.996237,37.560545,listed_in_standard_data,1,1,10.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01404,2025-11-13,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,1,6,3120032,충무로역,0.0,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01112,하계어린이도서관,public_library,서울특별시 노원구 공릉로58가길 13,127.0724932,37.6360959,listed_in_standard_data,1,1,142.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01112,2026-04-08,valid_wgs84,official_standard_data,1,공공도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,1,2,3110432,대진고등학교,0.0,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01182,하늘샘작은도서관,public_library,"서울특별시 서대문구 독립문로 27, 천연보건분소 5층",126.9613146,37.56960387,listed_in_standard_data,1,1,12.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01182,2025-08-09,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,1,6,3130182,영천시장,0.0,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01113,하늘작은도서관,public_library,서울특별시 노원구 노원로 17길 56,127.0687306,37.64213069,listed_in_standard_data,1,1,38.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01113,2026-04-08,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,0,3,3120083,등나무근린공원,54.46,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01044,하람도서관,public_library,"서울특별시 광진구 용마산로 16길 18, 101호(중곡동)",127.0883465,37.56212772,listed_in_standard_data,1,1,12.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01044,2025-11-05,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,1,6,3110168,대원고등학교,0.0,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01297,한강로동 작은도서관,public_library,서울특별시 용산구 한강대로38길 28,126.9692281,37.52814224,listed_in_standard_data,1,1,34.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01297,2025-08-05,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,1,2,3120041,신용산역(용산역),0.0,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
