place_id,place_type,place_name,category_name,address_name,road_address_name,longitude,latitude,snapshot_date,source
125700547,starbucks,스타벅스 암사역점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 강동구 암사동 501,서울 강동구 올림픽로 786,127.1281953263863,37.55111162875437,2026-09-18,Kakao Local keyword search
1257253143,starbucks,스타벅스 강동암사DT 주차장,"교통,수송 > 교통시설 > 주차장",서울 강동구 암사동 441-12,,127.130016111165,37.5549812237825,2026-09-18,Kakao Local keyword search
12690667,starbucks,스타벅스 경복궁역점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 종로구 통의동 35-41,서울 종로구 자하문로4길 6,126.972676532641,37.5772042362666,2026-09-18,Kakao Local keyword search
12695523,starbucks,스타벅스 신촌명물거리점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 서대문구 창천동 13-19,서울 서대문구 명물길 24,126.938155627947,37.5577765440044,2026-09-18,Kakao Local keyword search
12700362,starbucks,스타벅스 종로관철점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 종로구 관철동 12-15,서울 종로구 종로12길 21,126.986000167007,37.5690868019367,2026-09-18,Kakao Local keyword search
1273658183,starbucks,스타벅스 마포경찰서후문점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 마포구 아현동 618-19,서울 마포구 마포대로 173-14,126.953429793163,37.5507990220317,2026-09-18,Kakao Local keyword search
1278068970,starbucks,스타벅스 뉴코아강남B1점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 서초구 잠원동 70-2,서울 서초구 잠원로 51,127.00743882106094,37.50923936473881,2026-09-18,Kakao Local keyword search
1279375864,starbucks,스타벅스 마포용강동점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 마포구 용강동 112-2,서울 마포구 토정로 295,126.94213983925681,37.541174063448715,2026-09-18,Kakao Local keyword search
1295971095,starbucks,스타벅스 몽촌토성역점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 송파구 방이동 44-3,서울 송파구 위례성대로 6,127.113168177178,37.5168421174808,2026-09-18,Kakao Local keyword search
13018524,starbucks,스타벅스 숙대입구역점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 용산구 갈월동 69-5,서울 용산구 한강대로 291,126.971946258475,37.5442492056723,2026-09-18,Kakao Local keyword search
1302578722,starbucks,스타벅스 별내불암로점,음식점 > 카페 > 커피전문점 > 스타벅스,경기 남양주시 별내동 1097-1,경기 남양주시 별내5로5번길 15,127.112487924176,37.650487040833,2026-09-18,Kakao Local keyword search
13046702,starbucks,스타벅스 여의도호성점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 영등포구 여의도동 44-22,서울 영등포구 여의대방로65길 24,126.92929178172787,37.52045575388152,2026-09-18,Kakao Local keyword search
13049428,starbucks,스타벅스 압구정로데오역점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 강남구 청담동 84-3,서울 강남구 선릉로 836,127.040541168059,37.5265751539424,2026-09-18,Kakao Local keyword search
13049478,starbucks,스타벅스 경희대점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 동대문구 회기동 16-41,서울 동대문구 경희대로 16-1,127.05277655851455,37.59294766175779,2026-09-18,Kakao Local keyword search
1315931257,starbucks,스타벅스 서울웨이브아트센터점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 서초구 잠원동 149-2,서울 서초구 잠원로 145-35,127.00696014567234,37.518755797995745,2026-09-18,Kakao Local keyword search
1317526944,starbucks,스타벅스 건국대점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 광진구 화양동 5-45,서울 광진구 능동로 117,127.071093658871,37.5415948126772,2026-09-18,Kakao Local keyword search
13335864,starbucks,스타벅스 신압구정점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 강남구 신사동 639-7,서울 강남구 언주로174길 29,127.036496399642,37.5281153843557,2026-09-18,Kakao Local keyword search
1337801203,starbucks,무인스타벅스캡슐커피전문점 구리인창점,음식점 > 카페 > 테마카페 > 무인카페,경기 구리시 인창동 487-51,경기 구리시 동구릉로85번길 40,127.133017948907,37.6093501004388,2026-09-18,Kakao Local keyword search
1340630386,starbucks,스타벅스 방학역점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 도봉구 방학동 707-6,서울 도봉구 도봉로 684,127.043589434428,37.6653465622203,2026-09-18,Kakao Local keyword search
1341851081,starbucks,스타벅스 용산아이파크몰1F점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 용산구 한강로3가 40-999,서울 용산구 한강대로23길 55,126.96449874333416,37.52899957036044,2026-09-18,Kakao Local keyword search
1342867631,starbucks,스타벅스 강동구청DT점 주차장,"교통,수송 > 교통시설 > 주차장",서울 강동구 성내동 550,서울 강동구 성내로 32,127.123804421461,37.5291913939739,2026-09-18,Kakao Local keyword search
1343046736,starbucks,스타벅스 구의DT 주차장,"교통,수송 > 교통시설 > 주차장",서울 광진구 구의동 67-37,,127.087125870971,37.5451835641791,2026-09-18,Kakao Local keyword search
1357852441,starbucks,스타벅스 명지대점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 서대문구 남가좌동 50-3,서울 서대문구 거북골로 34,126.92276877121924,37.579054400341306,2026-09-18,Kakao Local keyword search
13582632,starbucks,스타벅스 이마빌딩점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 종로구 수송동 146-1,서울 종로구 종로1길 42,126.9789615295702,37.573946626388214,2026-09-18,Kakao Local keyword search
1358426450,starbucks,스타벅스 대한상공회의소R점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 중구 남대문로4가 45,서울 중구 세종대로 39,126.973702240748,37.5609378958064,2026-09-18,Kakao Local keyword search
1371895236,starbucks,스타벅스 상도대로점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 동작구 상도동 27-14,서울 동작구 상도로 218,126.942911926829,37.5050271208664,2026-09-18,Kakao Local keyword search
1372103506,starbucks,스타벅스 리저브도산점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 강남구 신사동 656-4,서울 강남구 선릉로155길 23,127.037747491808,37.5255759675548,2026-09-18,Kakao Local keyword search
1387251423,starbucks,스타벅스 답십리역점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 동대문구 답십리동 497-67,서울 동대문구 천호대로 263,127.051104396527,37.5684638941316,2026-09-18,Kakao Local keyword search
138857828,starbucks,스타벅스 코엑스아셈타워점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 강남구 삼성동 159,서울 강남구 영동대로 517,127.059782819493,37.5130852740943,2026-09-18,Kakao Local keyword search
141022306,starbucks,스타벅스 답십리초교사거리점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 동대문구 답십리동 266-1,서울 동대문구 전농로 38,127.05723020852056,37.56820880474421,2026-09-18,Kakao Local keyword search
1432966034,starbucks,스타벅스 연희동점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 서대문구 연희동 193-1,서울 서대문구 연희로 79,126.92966460587255,37.565525767187886,2026-09-18,Kakao Local keyword search
1436512690,starbucks,스타벅스 홍대입구역사거리R점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 마포구 서교동 353-5,서울 마포구 양화로 125,126.920317785646,37.5546231745866,2026-09-18,Kakao Local keyword search
143734770,starbucks,스타벅스 홍제역점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 서대문구 홍제동 301-19,서울 서대문구 통일로 451,126.943945274312,37.5886258931952,2026-09-18,Kakao Local keyword search
1457974114,starbucks,스타벅스 서울안토점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 강북구 우이동 346,서울 강북구 삼양로 689,127.010407852634,37.6641954957084,2026-09-18,Kakao Local keyword search
1476666957,starbucks,스타벅스 대치은마사거리점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 강남구 대치동 941-19,서울 강남구 도곡로 457,127.060171899915,37.4989744360661,2026-09-18,Kakao Local keyword search
1484410257,starbucks,스타벅스 불광역점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 은평구 대조동 15-9,서울 은평구 통일로 715,126.930302807418,37.6094351176591,2026-09-18,Kakao Local keyword search
1485627824,starbucks,스타벅스 홍대역8번출구점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 마포구 동교동 165-1,서울 마포구 양화로 166,126.924168013515,37.5567448560452,2026-09-18,Kakao Local keyword search
14870809,starbucks,스타벅스 경복궁사거리점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 종로구 중학동 14,서울 종로구 율곡로 6,126.98026291268783,37.57558485945881,2026-09-18,Kakao Local keyword search
1507421877,starbucks,스타벅스 아크플레이스점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 강남구 역삼동 736-1,서울 강남구 테헤란로 142,127.03471837892963,37.49970996873063,2026-09-18,Kakao Local keyword search
1511852889,starbucks,스타벅스 선릉동신빌딩R점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 강남구 삼성동 141-28,서울 강남구 테헤란로 409,127.050409882375,37.5053220852093,2026-09-18,Kakao Local keyword search
1516356548,starbucks,스타벅스 월계역점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 노원구 월계동 951,서울 노원구 초안산로2라길 26,127.0573484962675,37.62943828633148,2026-09-18,Kakao Local keyword search
1528677396,starbucks,스타벅스 잠실본동점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 송파구 잠실동 196-8,서울 송파구 백제고분로 91,127.079497585044,37.5086380068078,2026-09-18,Kakao Local keyword search
