quarter,area_code,purpose,area_name,area_type_name,primary_admin_name,primary_district_name,ratio_08,ratio_14,ratio_19,minimum_period_ratio,mean_period_ratio,access_tier,purpose_store_count,purpose_sales_amount,purpose_time_fit_amount,purpose_store_share,purpose_sales_share,purpose_time_fit_share,store_count_percentile,store_share_percentile,sales_amount_percentile,sales_share_percentile,time_fit_percentile,purpose_supply_score,current_sales_signal,access_score,lagged_sales_signal,path_v0_score,purpose_rank
20254,3130195,식사,도화동 상점가,전통시장,도화동,마포구,0.5329341317365269,0.4700598802395209,0.5029940119760479,0.4700598802395209,0.5019960079840319,exploration_25pct_all_periods,233.0,24541472725.0,14985550926.0,0.5810473815461347,0.8278926565599392,0.6106215015667932,95.41984732824427,97.45547073791349,94.91094147582697,88.54961832061069,38.80407124681934,96.1323155216285,79.29389312977099,16.552162849872772,78.7531806615776,90.91857506361322,3.0
20254,3120012,식사,대학로(혜화역),발달상권,혜화동,종로구,0.8682634730538922,0.8473053892215568,0.8892215568862275,0.8473053892215568,0.8682634730538922,core_80pct_all_periods,401.0,38283779184.0,23717616811.0,0.4908200734394125,0.6689474567114047,0.619521304231959,97.96437659033079,91.98473282442748,97.45547073791349,78.37150127226464,41.603053435114504,95.87150127226462,78.72137404580153,53.829516539440206,78.24427480916032,90.58333333333331,4.0
20254,3120026,식사,을지로입구역,발달상권,명동,중구,0.937125748502994,0.9610778443113772,0.9760479041916168,0.937125748502994,0.9580838323353292,core_80pct_all_periods,188.0,31500166066.0,23087018179.0,0.46078431372549017,0.7162549005203308,0.7329173481380211,93.06615776081425,89.44020356234097,96.56488549618321,82.56997455470739,78.49872773536896,91.7970737913486,88.54961832061069,64.70737913486005,87.62722646310434,90.54611959287531,5.0
20254,3120022,식사,북창동(시청역_6번),발달상권,소공동,중구,0.9221556886227544,0.9311377245508982,0.940119760479042,0.9221556886227544,0.9311377245508982,core_80pct_all_periods,164.0,56215781926.0,33117009792.0,0.5734265734265734,0.7644420062829678,0.5891052060005816,92.1119592875318,97.07379134860051,99.23664122137404,84.60559796437659,33.71501272264631,93.84860050890585,79.19847328244273,62.86259541984733,81.07506361323155,90.01653944020356,6.0
20254,3120045,식사,남영동 먹자골목,발달상권,남영동,용산구,0.6856287425149701,0.6407185628742516,0.6796407185628742,0.6407185628742516,0.6686626746506986,base_50pct_all_periods,149.0,25768079950.0,14843269527.0,0.6260504201680672,0.8840096120060776,0.5760331990509833,91.34860050890585,99.49109414758269,95.80152671755725,90.45801526717557,31.043256997455472,94.19847328244273,78.2760814249364,36.01781170483461,79.4529262086514,89.77480916030534,7.0
20254,3120229,식사,방이동먹자골목,발달상권,방이2동,송파구,0.5269461077844312,0.5149700598802395,0.5568862275449101,0.5149700598802395,0.5329341317365269,base_50pct_all_periods,318.0,49271634320.0,22242166116.0,0.5,0.7796027682609148,0.4514192886630435,96.69211195928753,92.87531806615776,98.72773536895674,85.36895674300254,15.521628498727736,95.3562340966921,74.58651399491094,20.368956743002546,73.66412213740458,88.84860050890583,8.0
20254,3120001,식사,서대문역,발달상권,교남동,종로구,0.781437125748503,0.7125748502994012,0.7604790419161677,0.7125748502994012,0.7514970059880239,base_50pct_all_periods,152.0,13130712424.0,8633364224.0,0.5314685314685315,0.6503644445221384,0.6574939687370005,91.73027989821882,94.529262086514,91.22137404580153,76.7175572519084,55.089058524173026,92.70992366412213,78.56234096692113,42.3791348600509,79.29389312977099,88.68511450381678,9.0
20254,3120046,식사,이태원(이태원역),발달상권,이태원1동,용산구,0.9011976047904192,0.8622754491017964,0.9011976047904192,0.8622754491017964,0.8882235528942116,core_80pct_all_periods,564.0,54061127651.0,17668889846.0,0.47474747474747475,0.6045645104227074,0.3268316924512611,99.10941475826972,90.96692111959288,98.85496183206108,72.64631043256998,12.340966921119593,96.25954198473283,70.67430025445293,55.737913486005084,70.86513994910942,88.6412213740458,10.0
20254,3120032,식사,충무로역,발달상권,필동,중구,0.9520958083832336,0.9520958083832336,0.9730538922155688,0.9520958083832336,0.9590818363273452,core_80pct_all_periods,332.0,24588226814.0,17948359813.0,0.3933649289099526,0.5705466072933792,0.7299574690266236,96.94656488549617,78.62595419847328,95.0381679389313,68.95674300254453,77.60814249363868,90.53435114503816,84.16030534351145,67.76081424936386,83.68320610687023,88.47900763358777,11.0
20254,3110062,식사,한강로동땡땡거리(은행나무길),골목상권,한강로동,용산구,0.5688622754491018,0.4880239520958084,0.5389221556886228,0.4880239520958084,0.531936127744511,exploration_25pct_all_periods,134.0,12745117696.0,8284638879.0,0.5338645418326693,0.9307355324428626,0.6500245095108144,89.31297709923665,94.65648854961832,90.96692111959288,92.74809160305344,51.781170483460556,91.18320610687023,81.61577608142494,18.587786259541986,81.42493638676844,88.25572519083968,12.0
20254,3120044,식사,삼각지역,발달상권,한강로동,용산구,0.6976047904191617,0.5808383233532934,0.6646706586826348,0.5808383233532934,0.6477045908183633,base_50pct_all_periods,183.0,10861300831.0,6184550200.0,0.5398230088495575,0.9327367835418867,0.5694115554140846,92.49363867684478,95.0381679389313,89.56743002544529,93.00254452926208,29.898218829516537,93.38422391857506,75.50890585241729,29.27480916030534,76.04961832061069,88.18384223918575,13.0
20254,3111013,식사,송파나루역 1번(송리단길),골목상권,송파1동,송파구,0.3023952095808383,0.2934131736526946,0.3083832335329341,0.2934131736526946,0.3013972055888223,exploration_25pct_all_periods,219.0,8714550688.0,5594162367.0,0.474025974025974,0.6131323039863212,0.6419335393508242,94.8473282442748,90.83969465648855,87.40458015267176,73.40966921119593,49.23664122137404,93.44465648854961,74.36386768447838,2.6844783715012723,74.33206106870229,87.71087786259541,14.0
20254,3120031,식사,을지로3가역,발달상권,을지로동,중구,0.9700598802395208,0.9790419161676648,0.9850299401197604,0.9700598802395208,0.9780439121756488,core_80pct_all_periods,375.0,39005815501.0,24994372626.0,0.42613636363636365,0.40045125313711394,0.6407857983474083,97.70992366412213,84.86005089058524,97.70992366412213,50.63613231552163,48.98218829516539,93.21246819338423,73.75954198473282,71.95928753180661,74.04580152671755,87.46246819338423,15.0
20254,3120023,식사,서울시청,발달상권,명동,중구,0.9251497005988024,0.9491017964071856,0.9520958083832336,0.9251497005988024,0.942115768463074,core_80pct_all_periods,104.0,28387597722.0,21228328962.0,0.48372093023255813,0.6696193033510437,0.7478029373915052,84.79643765903307,91.41221374045801,96.0559796437659,78.62595419847328,82.56997455470739,87.1119592875318,88.32697201017811,63.56234096692111,88.1997455470738,87.4382951653944,16.0
