area_code,time_slot,purpose,inflow_count,source_row_count,time_slot_inflow_total,purpose_share,source_period
3001495,evening,other,377341.77555095195,248,739991.8226557384,0.5099269532421579,20260801-20260831
3001495,evening,return_home,290740.72742873646,248,739991.8226557384,0.39289721660072435,20260801-20260831
3001495,evening,school,6664.830409176263,248,739991.8226557384,0.009006627107387507,20260801-20260831
3001495,evening,shopping,40823.579883598264,31,739991.8226557384,0.05516760947044999,20260801-20260831
3001495,evening,tourism,16223.402153557236,124,739991.8226557384,0.021923758691458867,20260801-20260831
3001495,morning,commute,178170.09169798152,248,421458.68722950364,0.4227462788089588,20260801-20260831
3001495,morning,other,172837.13449146017,248,421458.68722950364,0.4100927083212367,20260801-20260831
3001495,morning,return_home,27993.291656872338,248,421458.68722950364,0.06642001340840485,20260801-20260831
3001495,morning,school,14512.11054804264,248,421458.68722950364,0.03443305592640478,20260801-20260831
3001495,morning,shopping,23055.949224902233,31,421458.68722950364,0.05470512276413752,20260801-20260831
3001495,morning,tourism,4890.109610244729,124,421458.68722950364,0.011602820770857286,20260801-20260831
3001495,night,commute,3193.620028716884,248,163606.17983173774,0.019520167465565123,20260801-20260831
3001495,night,other,62012.512424263616,248,163606.17983173774,0.3790352692547491,20260801-20260831
3001495,night,return_home,94287.45241698528,248,163606.17983173774,0.5763074017983677,20260801-20260831
3001495,night,school,1534.5710238971592,222,163606.17983173774,0.009379664175738366,20260801-20260831
3001495,night,shopping,872.0794313655773,31,163606.17983173774,0.005330357522328773,20260801-20260831
3001495,night,tourism,1705.9445065092252,120,163606.17983173774,0.010427139783250971,20260801-20260831
3001496,daytime,commute,47620.50252847238,31,411223.91001460125,0.11580188157537223,20260801-20260831
3001496,daytime,other,321086.4230166431,31,411223.91001460125,0.7808067945398465,20260801-20260831
3001496,daytime,return_home,19430.385497620002,31,411223.91001460125,0.04725013556952486,20260801-20260831
3001496,daytime,school,1114.5497657267326,31,411223.91001460125,0.0027103233508167326,20260801-20260831
3001496,daytime,shopping,18426.171676302474,31,411223.91001460125,0.04480812333030008,20260801-20260831
3001496,daytime,tourism,3545.877529836569,31,411223.91001460125,0.008622741634139577,20260801-20260831
3001496,evening,commute,2129.1034024407895,31,151109.9762053311,0.014089760688915227,20260801-20260831
3001496,evening,other,113236.2291927967,31,151109.9762053311,0.749363027090476,20260801-20260831
3001496,evening,return_home,28449.262311195747,31,151109.9762053311,0.18826859103291996,20260801-20260831
3001496,evening,school,96.28273936844917,31,151109.9762053311,0.0006371699724022083,20260801-20260831
3001496,evening,shopping,4833.6484591980025,31,151109.9762053311,0.031987619749406546,20260801-20260831
3001496,evening,tourism,2365.450100331424,31,151109.9762053311,0.015653831465880223,20260801-20260831
3001496,morning,commute,154917.6759159805,31,239129.56266065864,0.6478399165385477,20260801-20260831
3001496,morning,other,76786.59323002209,31,239129.56266065864,0.3211087427905665,20260801-20260831
3001496,morning,return_home,3813.6031016144875,31,239129.56266065864,0.015947852951273336,20260801-20260831
3001496,morning,school,2627.7382833337224,31,239129.56266065864,0.01098876380693534,20260801-20260831
3001496,morning,shopping,613.2108183174079,31,239129.56266065864,0.002564345501637522,20260801-20260831
3001496,morning,tourism,370.74131139042953,31,239129.56266065864,0.001550378411039613,20260801-20260831
3001496,night,commute,1169.6863924925826,31,26138.052358081848,0.044750327088962205,20260801-20260831
3001496,night,other,14135.944460887142,31,26138.052358081848,0.5408185838497002,20260801-20260831
3001496,night,return_home,10644.376038233353,31,26138.052358081848,0.40723677083545695,20260801-20260831
3001496,night,school,41.23179013518981,25,26138.052358081848,0.001577462221374769,20260801-20260831
3001496,night,shopping,23.868506762157924,15,26138.052358081848,0.0009131708221855259,20260803-20260831
3001496,night,tourism,122.94516957142352,31,26138.052358081848,0.004703685182320367,20260801-20260831
3110002,daytime,commute,7529.2618178660005,62,112286.65611167776,0.06705393212865443,20260801-20260831
3110002,daytime,other,66870.90042706861,62,112286.65611167776,0.5955373749892447,20260801-20260831
3110002,daytime,return_home,36869.34322038227,62,112286.65611167776,0.3283501753201454,20260801-20260831
3110002,daytime,school,1017.1506463608814,62,112286.65611167776,0.009058517561955417,20260801-20260831
3110002,evening,commute,785.5822602170354,62,79881.46519141988,0.009834349662146849,20260801-20260831
3110002,evening,other,20636.274762039415,62,79881.46519141988,0.25833620743671554,20260801-20260831
3110002,evening,return_home,58329.20904909861,62,79881.46519141988,0.7301970351861271,20260801-20260831
3110002,evening,school,130.39912006482814,50,79881.46519141988,0.0016324077150106455,20260801-20260831
3110002,morning,commute,16184.668643830277,62,51959.27110298463,0.3114875998116263,20260801-20260831
3110002,morning,other,29166.39379495779,62,51959.27110298463,0.561331850424715,20260801-20260831
3110002,morning,return_home,5082.274213752955,62,51959.27110298463,0.09781265413981183,20260801-20260831
3110002,morning,school,1525.9344504436096,62,51959.27110298463,0.029367895623846757,20260801-20260831
3110002,night,commute,545.9503217687816,61,26539.602779462213,0.020571156482841847,20260801-20260831
3110002,night,other,8011.021124425799,62,26539.602779462213,0.301851583499402,20260801-20260831
3110002,night,return_home,17940.649756488634,62,26539.602779462213,0.6759954135550245,20260801-20260831
3110002,night,school,41.98157677899906,32,26539.602779462213,0.0015818464627317891,20260801-20260829
