area_code,area_name,area_type_name,evaluated_quarters,above_expected_quarters,below_expected_quarters,mean_residual_z,mean_actual_to_expected_log_gap,persistent_gap
3120084,공릉역,발달상권,4,0,0,0.03331317909962087,0.06681785005171648,not_persistent
3120064,경희대학교(경희대),발달상권,4,0,0,0.03323883168766183,0.06666758478764567,not_persistent
3110163,성자초등학교,골목상권,4,0,0,0.03251443730618876,0.06470928669905796,not_persistent
3120007,북촌(안국역),발달상권,4,0,0,0.031186089271733317,0.06135117280359115,not_persistent
3130101,답십리현대시장,전통시장,4,0,0,0.02828881612625047,0.06499911612912879,not_persistent
3130145,쌍문역둘리상점가,전통시장,4,0,0,0.027123755242363747,0.05238632715146352,not_persistent
3130109,묵1동도깨비시장,전통시장,4,0,0,0.027074276258337058,0.05702441974561534,not_persistent
3110315,종암아이파크2차,골목상권,4,0,0,0.02553690797726083,0.048848025717877164,not_persistent
3110213,청량초등학교,골목상권,4,0,0,0.02338574742924733,0.03936976725633645,not_persistent
3120077,미아역,발달상권,4,0,0,0.022210069845270186,0.04548545494588474,not_persistent
3110359,수유시장옆,골목상권,4,0,0,0.019168756123857406,0.042101577618882224,not_persistent
3130010,종로신진시장,전통시장,4,0,0,0.018175841323798042,0.03524423824990475,not_persistent
3110293,삼선중학교,골목상권,4,0,0,0.017622139637775952,0.030217962935770615,not_persistent
3110278,망우본동주민센터,골목상권,4,0,0,0.01669536633129185,0.03023300852829358,not_persistent
3110191,고려대역 6번,골목상권,4,0,0,0.013168738805185924,0.023801736881929436,not_persistent
3111030,방이역 2번,골목상권,4,0,0,0.012014290609291734,0.018078856240046903,not_persistent
3110199,홍릉시장,골목상권,4,0,0,0.011411583042548148,0.014073011559187165,not_persistent
3130032,인현시장,전통시장,4,0,0,0.010911282219242938,0.0179155546594556,not_persistent
3130132,삼양골목시장(삼양시장),전통시장,4,0,0,0.009122049796729724,0.01331832998064808,not_persistent
3120048,금호역,발달상권,4,0,0,0.008475591107213437,0.011788594151677323,not_persistent
3120069,상봉역,발달상권,4,0,0,0.007877062492015106,0.010080436257008607,not_persistent
3130157,상계중앙시장,전통시장,4,0,0,0.007223986522696643,0.009171428130430925,not_persistent
3120018,중림동,발달상권,4,0,0,0.006018469974085781,0.0037397724569192548,not_persistent
3120053,건대입구역(건대),발달상권,4,0,0,0.0028289077985407204,-0.0004585281083349102,not_persistent
3130001,통인시장,전통시장,4,0,0,0.002194857255032807,0.0011501421095099218,not_persistent
3110063,효창공원앞역 5번,골목상권,4,0,0,0.0010801373144431609,-0.00830068390782479,not_persistent
3110394,방학중학교,골목상권,4,0,0,0.0007048363010269779,-0.0021946705605229155,not_persistent
3130025,삼익패션타운(남대문시장),전통시장,4,0,0,-0.0016592009018843445,-0.008829400286372469,not_persistent
3110288,동구여중,골목상권,4,0,0,-0.002746295153979561,-0.011865349680941328,not_persistent
3110402,도봉구 정병원,골목상권,4,0,0,-0.0027851900866354257,-0.011229620394570539,not_persistent
3110316,숭곡초등학교,골목상권,4,0,0,-0.003353457696118208,-0.015603116522092009,not_persistent
3111013,송파나루역 1번(송리단길),골목상권,4,0,0,-0.0034029650298638154,-0.014089233937776946,not_persistent
3120027,명동역(명동재미로),발달상권,4,0,0,-0.0040297685601077835,-0.012879308221976693,not_persistent
3110254,오거리공원,골목상권,4,0,0,-0.007872964051783546,-0.02407375979419868,not_persistent
3110274,서일대학교,골목상권,4,0,0,-0.008826991677449268,-0.02396370955918581,not_persistent
3111049,천호지구대(천호동자전거거리),골목상권,4,0,0,-0.009766674984464829,-0.027752681301337567,not_persistent
3110970,학동초등학교,골목상권,4,0,0,-0.00977840256361905,-0.03302271344203245,not_persistent
3130195,도화동 상점가,전통시장,4,0,0,-0.011022968854133348,-0.029437398770244094,not_persistent
3130140,숭인시장,전통시장,4,0,0,-0.017059085947104542,-0.04547293305208111,not_persistent
