area_code,area_name,area_type_name,admin_code,admin_name,district_name,overlap_m2,area_m2,overlap_share
3111031,장지동주민센터(한림연예예술고교),골목상권,11710646,장지동,송파구,79406.21044595254,83345.27067024076,0.9527380474907414
3111031,장지동주민센터(한림연예예술고교),골목상권,11710641,문정1동,송파구,3939.0602242878954,83345.27067024076,0.047261952509254676
3111032,방이역 1번,골목상권,11710570,오금동,송파구,76733.80934471474,77912.62564082342,0.9848700222022678
3111032,방이역 1번,골목상권,11710566,오륜동,송파구,1178.8162961091825,77912.62564082342,0.015129977797738664
3111033,문정동성당,골목상권,11710646,장지동,송파구,23374.58634294567,23374.586342945684,0.9999999999999993
3111034,오동나무공원(송파레미니스1단지),골목상권,11710570,오금동,송파구,139460.20884234583,139482.43376055834,0.9998406615255175
3111034,오동나무공원(송파레미니스1단지),골목상권,11710566,오륜동,송파구,22.224918212124226,139482.43376055834,0.00015933847447970756
3111035,오금공원(오주중학교),골목상권,11710570,오금동,송파구,95041.38410006961,95041.38410006957,1.0000000000000004
3111036,투구봉어린이공원,골목상권,11710632,가락2동,송파구,31937.813130511502,31937.81313051152,0.9999999999999994
3111037,Sh수협은행 오금동금융센터(아랫말어린이공원),골목상권,11710570,오금동,송파구,27616.92669288203,27616.92669288201,1.0000000000000007
3111038,보인중학교,골목상권,11710570,오금동,송파구,83602.38468952815,83602.38468952812,1.0000000000000004
3111039,벌말어린이공원,골목상권,11710570,오금동,송파구,63271.561977748985,63271.56197774898,1.0000000000000002
3111040,거여초등학교,골목상권,11710570,오금동,송파구,57096.62138931385,57096.62138931385,1.0
3111041,거여역 8번,골목상권,11710531,거여1동,송파구,12895.383927264988,12895.383927264997,0.9999999999999993
3111042,거여역 1번(거여공원),골목상권,11710531,거여1동,송파구,128920.05166850578,146364.58842684946,0.880814499286744
3111042,거여역 1번(거여공원),골목상권,11710550,마천2동,송파구,13189.246176371518,146364.58842684946,0.09011227591408341
3111042,거여역 1번(거여공원),골목상권,11710570,오금동,송파구,4255.28948204235,146364.58842684946,0.02907321728417302
3111042,거여역 1번(거여공원),골목상권,11710532,거여2동,송파구,0.0010999296603583478,146364.58842684946,7.514998485498246e-09
3111043,마천공원,골목상권,11710550,마천2동,송파구,61362.56289325617,67894.39050921492,0.9037942963038718
3111043,마천공원,골목상권,11710570,오금동,송파구,6531.82761595894,67894.39050921492,0.09620570369613102
3111044,남천초등학교,골목상권,11710550,마천2동,송파구,128942.72472586785,129883.4529417975,0.9927571357657762
3111044,남천초등학교,골목상권,11710532,거여2동,송파구,911.720559713739,129883.4529417975,0.007019528192881453
3111044,남천초등학교,골목상권,11710531,거여1동,송파구,29.007656216043614,129883.4529417975,0.000223336041343483
3111045,개미어린이공원,골목상권,11710532,거여2동,송파구,35749.732870989894,42007.50712408717,0.8510320016226562
3111045,개미어린이공원,골목상권,11710647,위례동,송파구,6257.774253097152,42007.50712408717,0.14896799837734084
3111046,마천역(마천초등학교),골목상권,11710540,마천1동,송파구,145450.32076979446,209849.64796742963,0.693116820440745
3111046,마천역(마천초등학교),골목상권,11710550,마천2동,송파구,63213.89453747797,209849.64796742963,0.30123421768755737
3111046,마천역(마천초등학교),골목상권,11710532,거여2동,송파구,1093.9948832913656,209849.64796742963,0.005213231920508927
3111046,마천역(마천초등학교),골목상권,11710647,위례동,송파구,91.43777686539038,209849.64796742963,0.00043572995118668133
3111047,마천1치안센터,골목상권,11710540,마천1동,송파구,122728.75134037247,131214.98288536273,0.9353257428505376
3111047,마천1치안센터,골목상권,11710550,마천2동,송파구,7543.2860723853255,131214.98288536273,0.05748799341745593
3111048,천호역 1번(천호문구완구거리),골목상권,11740610,천호2동,강동구,69264.65953305487,69264.65953305487,1.0
3111049,천호지구대(천호동자전거거리),골목상권,11740610,천호2동,강동구,110424.47961699829,110424.4796169983,0.9999999999999999
3111050,강동구청(강동구청역 2번),골목상권,11740640,성내1동,강동구,19564.582190409343,19564.58219040935,0.9999999999999997
3111051,천호역 6번,골목상권,11740650,성내2동,강동구,159443.95041565027,159646.94256573764,0.9987284933439687
3111051,천호역 6번,골목상권,11740640,성내1동,강동구,202.99215008726938,159646.94256573764,0.0012715066560305942
3111052,암사역 3번(천호동자전거거리),골목상권,11740610,천호2동,강동구,84277.4230847675,129295.16786331235,0.6518219085640038
3111052,암사역 3번(천호동자전거거리),골목상권,11740580,암사2동,강동구,45017.74477854463,129295.16786331235,0.34817809143599454
3111053,성내천어린이공원(하니사랑길),골목상권,11740640,성내1동,강동구,132308.76722483968,139845.23291300863,0.9461085263245473
