area_code,study_room_store_count,minimum_period_ratio,cafe_store_count_2025,area_km2,study_cafe_inside_count,starbucks_inside_count,poi_public_library_inside_count,poi_reading_room_inside_count,poi_university_learning_facility_inside_count,poi_youth_space_inside_count,study_public_inside_count,study_public_nearby_only_count,study_room_per_km2,cafe_store_per_km2_2025,study_cafe_per_km2,starbucks_per_km2,study_public_inside_per_km2,study_public_nearby_only_per_km2,study_room_percentile,cafe_supply_percentile,study_cafe_percentile,starbucks_percentile,study_public_inside_percentile,study_public_nearby_only_percentile,study_public_percentile,access_percentile,study_stay_current_score,study_stay_current_rank,poi_snapshot_date,public_facility_snapshot_date,historical_2025_use_allowed,poi_source
3110397,1.0,0.6107784431137725,11.0,0.5416129648006449,2.0,0.0,1,0,0,0,1,2,1.8463368955137118,20.30970585065083,3.6926737910274237,0.0,1.8463368955137118,3.6926737910274237,54.834605597964384,10.941475826972011,75.44529262086515,40.903307888040715,2.7027027027027026,2.2813688212927756,2.6184359264207173,32.50636132315521,40.36465410640374,391,2026-09-18,2026-09-21,False,Kakao Local keyword search
3110107,0.0,0.7065868263473054,5.0,0.022173799631196617,0.0,0.0,0,0,0,0,0,2,0.0,225.49134939261526,0.0,0.0,0.0,90.19653975704611,27.417302798982192,88.67684478371501,37.02290076335878,40.903307888040715,0.0,88.59315589353612,17.718631178707223,41.921119592875314,40.34716135024526,392,2026-09-18,2026-09-21,False,Kakao Local keyword search
3110072,0.0,0.6017964071856288,7.0,0.018076890978920585,0.0,0.0,0,0,0,0,0,1,0.0,387.2347301404142,0.0,0.0,0.0,55.31924716291631,27.417302798982192,97.20101781170484,37.02290076335878,40.903307888040715,0.0,78.70722433460075,15.741444866920151,31.48854961832061,40.18709304463084,393,2026-09-18,2026-09-21,False,Kakao Local keyword search
3110148,0.0,0.9221556886227544,9.0,0.04572192717751315,0.0,0.0,0,0,0,0,0,1,0.0,196.8420964640869,0.0,0.0,0.0,21.87134405156521,27.417302798982192,84.98727735368958,37.02290076335878,40.903307888040715,0.0,45.81749049429658,9.163498098859316,62.913486005089055,40.18193626099324,394,2026-09-18,2026-09-21,False,Kakao Local keyword search
3110045,0.0,0.9730538922155688,6.0,0.04478651160087404,0.0,0.0,0,0,0,0,0,2,0.0,133.9689068322728,0.0,0.0,0.0,44.656302277424274,27.417302798982192,70.99236641221374,37.02290076335878,40.903307888040715,0.0,72.6235741444867,14.52471482889734,73.15521628498728,40.17911599376929,395,2026-09-18,2026-09-21,False,Kakao Local keyword search
3120177,4.0,0.437125748502994,19.0,0.14042881468421933,0.0,0.0,0,0,0,0,0,0,28.484182601660166,135.2998673578858,0.0,0.0,0.0,0.0,85.6234096692112,71.50127226463104,37.02290076335878,40.903307888040715,0.0,0.0,0.0,13.486005089058525,40.1145038167939,396,2026-09-18,2026-09-21,False,Kakao Local keyword search
3110582,3.0,0.3892215568862275,5.0,0.053559244352261795,0.0,0.0,0,0,0,0,0,1,56.01273946788442,93.35456577980737,0.0,0.0,0.0,18.670913155961472,93.63867684478372,54.834605597964384,37.02290076335878,40.903307888040715,0.0,39.543726235741445,7.908745247148289,10.623409669211197,40.112283400574704,397,2026-09-18,2026-09-21,False,Kakao Local keyword search
3130078,0.0,0.9820359281437124,2.0,0.01860142090392756,0.0,0.0,0,0,0,0,0,3,0.0,107.51866808076548,0.0,0.0,0.0,161.2780021211482,27.417302798982192,62.086513994910945,37.02290076335878,40.903307888040715,0.0,95.24714828897338,19.049429657794676,76.78117048346056,40.11077651680067,398,2026-09-18,2026-09-21,False,Kakao Local keyword search
3110364,0.0,0.5688622754491018,2.0,0.12705389704495917,2.0,0.0,0,0,0,0,0,2,0.0,15.741351084196038,15.741351084196038,0.0,0.0,15.741351084196038,27.417302798982192,9.414758269720101,87.91348600508906,40.903307888040715,0.0,34.79087452471482,6.958174904942965,27.16284987277354,40.09710571890208,399,2026-09-18,2026-09-21,False,Kakao Local keyword search
3110178,0.0,0.8323353293413174,8.0,0.04589740613927671,0.0,0.0,0,0,0,0,0,3,0.0,174.30178898833236,0.0,0.0,0.0,65.36317087062464,27.417302798982192,81.1704834605598,37.02290076335878,40.903307888040715,0.0,83.84030418250951,16.768060836501903,52.29007633587786,40.06798875763117,400,2026-09-18,2026-09-21,False,Kakao Local keyword search
