area_code,area_km2,study_cafe_inside_count,starbucks_inside_count
3110149,0.0459213861440778,0.0,1.0
3110150,0.15938800268377767,1.0,0.0
3110151,0.10749135774748048,0.0,0.0
3110152,0.0507666361216236,0.0,0.0
3110153,0.05002982566562065,0.0,0.0
3110154,0.10202345551422212,0.0,0.0
3110155,0.09723942205944856,1.0,0.0
3110156,0.1535782110607594,0.0,0.0
3110157,0.11506923154415452,1.0,0.0
3110158,0.1666707615233718,0.0,0.0
3110159,0.21073350108570799,1.0,0.0
3110160,0.04781120101149063,0.0,0.0
3110161,0.141791898842042,0.0,0.0
3110162,0.07089054463132857,0.0,0.0
3110163,0.06643174929805984,0.0,0.0
3110164,0.08498421932217898,0.0,0.0
3110165,0.09561356305424346,2.0,0.0
3110166,0.13151844515489858,1.0,0.0
3110167,0.15423522832403122,0.0,0.0
3110168,0.058468864531408454,0.0,0.0
3110169,0.07544212162332913,0.0,0.0
3110170,0.1206341565886115,0.0,0.0
3110171,0.04784178625481322,0.0,0.0
3110172,0.09542517278140945,0.0,2.0
3110173,0.04922918628316342,1.0,0.0
3110174,0.10337890558196468,1.0,0.0
3110175,0.09604084078177677,0.0,0.0
3110176,0.135213606968565,0.0,0.0
3110177,0.029056681599804544,0.0,0.0
3110178,0.04589740613927671,0.0,0.0
3110179,0.04205289167675281,1.0,0.0
3110180,0.07464117675645447,0.0,0.0
3110181,0.14164002578236093,0.0,0.0
3110182,0.05907317302343101,0.0,0.0
3110183,0.043408117825447616,0.0,0.0
3110184,0.02436064197871384,0.0,0.0
3110185,0.028825029648711278,0.0,0.0
3110186,0.02287298154501594,0.0,0.0
3110187,0.15985990970398706,0.0,0.0
3110188,0.15240145007404385,0.0,0.0
3110189,0.08843229821051138,0.0,0.0
3110190,0.10133903822828282,0.0,0.0
3110191,0.079112448117574,1.0,0.0
3110192,0.03320602184251746,0.0,0.0
3110193,0.0677286891250741,0.0,0.0
3110194,0.0878787070532103,0.0,0.0
3110195,0.11529557736313627,1.0,0.0
3110196,0.03728567841611251,0.0,0.0
3110197,0.024751941703520658,0.0,0.0
3110198,0.016127540882524417,0.0,0.0
3110199,0.06982353325460629,0.0,0.0
3110200,0.03533006319727716,0.0,0.0
3110201,0.024130487510539356,0.0,0.0
3110202,0.02979846691989581,0.0,0.0
3110203,0.0461444204305949,0.0,0.0
3110204,0.12246069294652544,0.0,0.0
3110205,0.08874799584237628,2.0,0.0
3110206,0.10054643126891596,0.0,0.0
3110207,0.029305017823698716,0.0,0.0
3110208,0.04219053499342924,0.0,0.0
3110209,0.027951185031442206,0.0,0.0
3110210,0.11088586126955216,1.0,0.0
3110211,0.12630692662318124,0.0,0.0
3110212,0.08091995213360775,2.0,0.0
3110213,0.035428441096629834,1.0,0.0
3110214,0.0798010251186227,0.0,0.0
3110215,0.05143878539453484,1.0,0.0
3110216,0.06501934741675046,0.0,0.0
3110217,0.05660572801561478,0.0,0.0
3110218,0.08209765477340406,1.0,1.0
3110219,0.1793076543769617,1.0,0.0
3110220,0.09854972480854678,2.0,1.0
3110221,0.047094075781689865,0.0,0.0
3110222,0.010325716153797548,0.0,0.0
3110223,0.04354802576900308,0.0,0.0
3110224,0.0457347555159795,0.0,0.0
3110225,0.05476409130304076,1.0,0.0
3110226,0.28564201914305076,0.0,0.0
