quarter,area_code,purpose,area_name,area_type_name,primary_admin_name,primary_district_name,ratio_08,ratio_14,ratio_19,minimum_period_ratio,mean_period_ratio,access_tier,purpose_store_count,purpose_sales_amount,purpose_time_fit_amount,purpose_store_share,purpose_sales_share,purpose_time_fit_share,store_count_percentile,store_share_percentile,sales_amount_percentile,sales_share_percentile,time_fit_percentile,purpose_supply_score,current_sales_signal,lagged_sales_signal,path_v0_score,purpose_rank,source_year,source_dataset,mapping_method,purpose_industry_scope,historical_2025_use_allowed
20254,3110231,공부,장안교,골목상권,장안2동,동대문구,0.9700598802395208,0.9730538922155688,0.9760479041916168,0.9700598802395208,0.9730538922155688,core_80pct_all_periods,0.0,0.0,0.0,0.0,0.0,0.0,4.134860050890586,4.134860050890586,24.61832061068702,24.61832061068702,25.19083969465649,4.134860050890586,24.76145038167939,24.236641221374047,10.165394402035624,723.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3110232,공부,동대부고,골목상권,장안2동,동대문구,0.9730538922155688,0.9700598802395208,0.9850299401197604,0.9700598802395208,0.9760479041916168,core_80pct_all_periods,37.0,2893821153.0,1188348541.0,0.2126436781609195,0.1357850638857505,0.4106503056583331,90.52162849872774,90.5852417302799,94.27480916030534,86.1323155216285,63.99491094147582,90.543893129771,84.66921119592875,86.45038167938931,89.31583969465649,34.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3110233,공부,중랑역 1번,골목상권,중화2동,중랑구,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,4.0,0.0,0.0,0.0416666666666666,0.0,0.0,28.498727735368956,28.18066157760814,24.61832061068702,24.61832061068702,25.19083969465649,28.38740458015267,24.76145038167939,24.236641221374047,27.14217557251908,601.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3110234,공부,중랑역 4번,골목상권,중화2동,중랑구,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,2.0,0.0,0.0,0.0338983050847457,0.0,0.0,18.25699745547074,24.61832061068702,24.61832061068702,24.61832061068702,25.19083969465649,20.48346055979644,24.76145038167939,24.236641221374047,21.60941475826972,648.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3110235,공부,세화어린이공원,골목상권,중화2동,중랑구,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,1.0,0.0,0.0,0.05,0.0,0.0,12.02290076335878,34.35114503816794,24.61832061068702,24.61832061068702,25.19083969465649,19.837786259541986,24.76145038167939,24.236641221374047,21.157442748091604,655.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3110236,공부,신묵초등학교,골목상권,묵2동,중랑구,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,28.0,85191399.0,60230555.0,0.1407035175879397,0.0409483716114242,0.7070027691410491,85.55979643765903,77.35368956743002,63.8676844783715,72.39185750636132,90.96692111959288,82.68765903307889,72.7735368956743,72.32824427480917,79.57983460559797,106.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3110237,공부,메가박스 상봉,골목상권,면목2동,중랑구,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,6.0,0.0,0.0,0.027906976744186,0.0,0.0,39.24936386768448,20.419847328244277,24.61832061068702,24.61832061068702,25.19083969465649,32.65903307888041,24.76145038167939,24.236641221374047,30.1323155216285,576.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3110238,공부,배꽃어린이공원,골목상권,중화2동,중랑구,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,2.0,0.0,0.0,0.1052631578947368,0.0,0.0,18.25699745547074,66.03053435114504,24.61832061068702,24.61832061068702,25.19083969465649,34.97773536895674,24.76145038167939,24.236641221374047,31.75540712468193,561.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3110239,공부,중랑역 2번,골목상권,중화2동,중랑구,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,0.0,0.0,0.0,0.0,0.0,0.0,4.134860050890586,4.134860050890586,24.61832061068702,24.61832061068702,25.19083969465649,4.134860050890586,24.76145038167939,24.236641221374047,10.165394402035624,723.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3110240,공부,태릉시장 특화거리,골목상권,중화2동,중랑구,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,3.0,0.0,0.0,0.0265486725663716,0.0,0.0,23.346055979643765,19.720101781170484,24.61832061068702,24.61832061068702,25.19083969465649,22.07697201017812,24.76145038167939,24.236641221374047,22.724872773536894,641.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
