area_code,area_name,primary_district_name,minimum_period_ratio,access_tier,study_stay_current_score,study_stay_current_rank,study_public_inside_count,study_public_nearby_only_count,study_cafe_inside_count,movement_inflow_commute,movement_inflow_hospital,movement_inflow_other,movement_inflow_return_home,movement_inflow_school,movement_inflow_shopping,movement_inflow_tourism,movement_inflow_total,movement_school_share,movement_nonroutine_share,movement_commute_return_share,integration_segment,study_score_q75,movement_school_share_q75,movement_context_usage
3110118,왕십리역 9번,성동구,0.9670658682634732,core_80pct_all_periods,38.87766909509573,429,0,1,0.0,131474.1860016489,0.0,573920.1555890251,182499.7153106649,41434.892738070346,0.0,0.0,929328.9496394093,0.044585819428252585,0.6621498755267019,0.3378501244732981,demand_signal_feature_gap,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3110236,신묵초등학교,중랑구,1.0,core_80pct_all_periods,38.85643243452433,430,0,1,0.0,26961.16230008105,0.0,102682.54547936427,149302.87522736262,1307.258881934898,0.0,0.0,280253.84188874287,0.004664552939309438,0.3710557673731437,0.6289442326268562,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3001496,강남 마이스 관광특구,강남구,0.3413173652694611,exploration_25pct_all_periods,38.79076809953656,431,0,1,0.0,205836.96823938627,0.0,525245.189900349,62337.62694866359,3879.802578564094,23896.89946058004,6405.014111129846,827601.5012386729,0.0046880081449310875,0.6470867993696412,0.3240383140758836,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3110008,배화여자대학교(박노수미술관),종로구,0.6916167664670658,base_50pct_all_periods,38.76707156609488,432,0,2,0.0,55702.65436042529,0.0,173053.91108941834,62781.06448450651,10389.088871452073,0.0,0.0,301926.71880580223,0.034409306047982736,0.6075745819596048,0.3924254180403952,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",중구,0.9910179640718564,core_80pct_all_periods,38.74363867684478,433,0,0,0.0,22569.82587972754,0.0,74977.46992299023,16110.574182167711,1565.0143995077494,0.0,2034.7186218933157,117257.60300628655,0.013346805319087447,0.6701245883405832,0.3298754116594169,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3130071,성수역 골목형상점가,성동구,0.9790419161676648,core_80pct_all_periods,38.64854294255943,434,0,1,0.0,122986.05797603565,0.0,274313.96409178816,43346.49266047227,5520.771028100668,0.0,0.0,446167.28575639677,0.012373769221428212,0.627196892406576,0.37280310759342394,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3130022,숭례문수입상가(남대문시장),중구,0.8203592814371258,core_80pct_all_periods,38.60343317950057,435,0,1,0.0,116334.92602816226,0.0,210767.83781633552,10601.766329187722,131.9780041363959,13661.963046032099,494.6770129672754,351993.14823682135,0.00037494481014045466,0.6005642265832196,0.36062262289249686,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3110240,태릉시장 특화거리,중랑구,1.0,core_80pct_all_periods,38.52411739664664,436,0,1,0.0,8698.623580599495,0.0,35496.288985741005,50354.442833936,203.51598014909126,0.0,0.0,94752.8713804256,0.0021478608213569596,0.37676752636400945,0.6232324736359905,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3130052,서울중앙시장(신중앙시장),중구,0.9880239520958084,core_80pct_all_periods,38.51893642546851,437,0,2,0.0,12879.51783799506,0.0,48981.72793792806,50148.76483949361,769.2686530918941,0.0,169.65242214918212,112948.9316906578,0.006810765197839596,0.44197539778322803,0.558024602216772,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3130018,동대문문구완구거리(동대문문구완구시장),종로구,0.9850299401197604,core_80pct_all_periods,38.46087665321839,438,0,1,0.0,12341.35548191008,0.0,52020.6204559309,10213.512023978648,420.16112158556433,0.0,2094.934354558087,77090.58343796329,0.0054502262513511585,0.7074238318089886,0.2925761681910112,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
